SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,list/concat_assoc_1var_6occ/35,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/36,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/37,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/38,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/39,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/4,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/40,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/41,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/42,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/43,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/44,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/45,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/46,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/47,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/48,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/49,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/5,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/6,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/7,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/8,,SOLVED
ZipRewrite,list/concat_assoc_1var_6occ/9,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/0,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/1,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/10,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/11,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/12,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/13,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/14,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/15,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/16,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/17,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/18,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/19,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/2,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/20,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/21,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/22,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/23,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/24,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/25,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/26,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/27,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/28,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/29,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/3,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/30,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/31,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/32,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/33,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/34,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/35,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/36,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/37,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/38,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/39,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/4,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/40,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/41,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/42,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/43,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/44,,SOLVED
