SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,nat/leq_1var_5_8occ/48,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/49,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/5,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/6,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/7,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/8,,SOLVED
ZipRewrite,nat/leq_1var_5_8occ/9,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/0,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/1,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/10,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/11,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/12,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/13,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/14,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/15,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/16,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/17,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/18,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/19,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/2,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/20,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/21,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/22,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/23,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/24,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/25,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/26,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/27,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/28,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/29,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/3,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/30,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/31,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/32,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/33,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/34,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/35,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/36,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/37,,SOLVED
ZipRewrite,nat/add_s_zero_mix_9/38,,FAILED
ZipRewrite,nat/add_s_zero_mix_9/39,,SOLVED
